card_name,bonus_amount,required_spend,deadline_months
Capital One VentureX,"75,000 miles","$4,000",3
Chase United Quest,"70,000 miles + 1,000 PQP","$4,000",3
Chase Marriott Bonvoy Boundless,3 Free Night Awards,"$3,000",3
American Express Hilton Honors Surpass,"130,000 points","$3,000",6
American Express Hilton Honors Aspire,"150,000 points","$6,000",6
Bank of America Atmos Rewards Ascent,"100,000 points + 25k Award","$6,000",3
American Express Hilton Honors,"80,000 points","$2,000",6
American Express Platinum,100000 points,$6000,6
